,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
92,92,4,4,3,10.571073532104492,3,7.817192077636719,2.7538814544677734
93,93,20,11,9,43.71085357666016,9,46.59956359863281,-2.888710021972649
94,94,16,6,7,41.29004669189453,7,44.94171905517578,-3.65167236328125
95,95,21,9,6,44.33172607421875,6,43.97147750854492,0.3602485656738281
96,96,13,10,2,53.74485778808594,2,45.84637451171875,7.8984832763671875
97,97,30,13,10,67.41262817382812,10,67.00753784179688,0.40509033203125
98,98,7,5,1,21.937721252441406,1,18.73737907409668,3.2003421783447266
99,99,34,16,4,74.04888916015625,4,78.6173324584961,-4.568443298339844
100,100,40,11,4,95.8636703491211,4,93.452880859375,2.4107894897460938
101,101,14,7,4,23.78192710876465,4,26.77540779113769,-2.9934806823730433
102,102,26,14,5,85.96554565429688,5,82.66668701171875,3.298858642578125
103,103,33,24,1,85.03308868408203,1,78.59709930419922,6.4359893798828125
104,104,16,5,3,38.45703887939453,3,35.84897232055664,2.6080665588378906
105,105,9,5,10,18.873762130737305,10,17.100751876831055,1.77301025390625
106,106,12,7,8,20.42917251586914,8,21.30618667602539,-0.87701416015625
107,107,24,13,2,57.45550155639648,2,57.06642150878906,0.38908004760741477
108,108,8,6,2,15.963035583496094,2,14.45357894897461,1.5094566345214844
109,109,14,7,1,38.503536224365234,1,34.03580856323242,4.4677276611328125
110,110,10,6,1,22.72296905517578,1,20.608522415161133,2.1144466400146484
111,111,4,4,7,19.511722564697266,7,16.638427734375,2.8732948303222656
112,112,3,4,10,7.355545520782471,10,6.089209079742432,1.266336441040039
113,113,7,6,7,10.20798683166504,7,11.314546585083008,-1.106559753417967
114,114,19,11,6,72.93578338623047,6,80.75149536132812,-7.815711975097656
115,115,16,8,5,39.50648498535156,5,36.130977630615234,3.375507354736328
116,116,17,7,2,38.328372955322266,2,34.89601516723633,3.4323577880859375
117,117,11,5,10,25.48160743713379,10,21.9211540222168,3.5604534149169886
118,118,36,12,6,81.2548828125,6,81.19200134277344,0.0628814697265625
119,119,14,6,3,18.46644401550293,3,15.184005737304688,3.282438278198242
120,120,4,4,3,10.428053855895996,3,6.745622634887695,3.682431221008301
121,121,1,3,4,22.749366760253903,4,22.14623260498047,0.603134155273434
122,122,20,11,3,43.57427215576172,3,42.85692596435547,0.71734619140625
123,123,8,5,6,21.861433029174805,6,19.50874710083008,2.352685928344723
124,124,9,7,5,20.41793441772461,5,17.816280364990234,2.601654052734375
125,125,7,6,10,14.037107467651367,10,9.726150512695312,4.310956954956055
126,126,3,3,10,9.54856777191162,10,6.37469482421875,3.1738729476928693
127,127,31,17,3,79.40552520751953,3,77.68928527832031,1.7162399291992188
128,128,21,16,1,60.42305755615234,1,59.20880126953125,1.2142562866210866
129,129,29,9,7,112.77579498291016,7,113.57427978515624,-0.7984848022460795
130,130,28,8,3,79.64402770996094,3,82.09252166748047,-2.4484939575195312
131,131,8,9,8,12.512661933898926,8,10.908802032470703,1.6038599014282227
132,132,22,10,9,45.98141860961914,9,50.05877685546875,-4.077358245849609
133,133,14,12,3,29.734323501586918,3,26.674848556518555,3.059474945068363
134,134,3,4,3,13.474193572998049,3,8.28907299041748,5.185120582580568
135,135,4,6,6,9.166288375854492,6,5.183667182922363,3.982621192932129
136,136,16,6,10,32.56086349487305,10,31.50624084472656,1.054622650146488
137,137,15,6,4,37.52466583251953,4,38.387149810791016,-0.8624839782714844
138,138,9,6,10,21.45940589904785,10,18.60377311706543,2.855632781982422
139,139,13,8,3,37.4432487487793,3,32.659217834472656,4.784030914306641
140,140,31,13,4,99.53034973144533,4,111.3635711669922,-11.833221435546875
141,141,19,9,10,43.64251708984375,10,42.32877349853516,1.3137435913085866
142,142,25,8,4,54.40500259399414,4,52.44011688232422,1.9648857116699219
143,143,27,8,9,104.98101806640624,9,108.8120574951172,-3.831039428710966
144,144,6,5,1,13.755197525024414,1,10.986465454101562,2.7687320709228516
145,145,29,11,10,76.5909194946289,10,79.97384643554688,-3.3829269409179688
146,146,6,7,5,11.218448638916016,5,6.679211616516113,4.539237022399902
147,147,7,6,2,9.121082305908203,2,6.6103386878967285,2.5107436180114746
148,148,22,9,9,69.95699310302734,9,71.00971221923828,-1.0527191162109375
149,149,5,4,7,11.518845558166504,7,8.240623474121094,3.27822208404541
150,150,4,4,1,16.547330856323242,1,15.994458198547363,0.5528726577758789
151,151,23,11,8,48.62246322631836,8,46.12015914916992,2.5023040771484375
152,152,25,13,7,69.09178924560547,7,67.37107849121094,1.7207107543945312
153,153,6,5,9,10.691553115844728,9,7.760900020599365,2.930653095245363
154,154,6,5,5,21.38496208190918,5,18.556583404541016,2.828378677368164
155,155,10,9,10,29.96127700805664,10,27.62682342529297,2.334453582763672
156,156,16,9,4,25.640087127685547,4,25.968299865722656,-0.3282127380371094
157,157,32,9,7,68.91850280761719,7,65.79180908203125,3.1266937255859375
158,158,8,4,3,29.38092803955078,3,25.887096405029297,3.4938316345214844
159,159,5,5,10,14.542776107788086,10,14.674089431762695,-0.13131332397460938
160,160,9,7,7,19.434616088867188,7,17.40100860595703,2.0336074829101562
161,161,15,7,10,25.641136169433597,10,24.477161407470703,1.1639747619628942
162,162,31,20,10,63.208473205566406,10,61.25727081298828,1.951202392578125
163,163,25,8,10,54.54621887207031,10,53.678932189941406,0.8672866821289062
164,164,4,4,7,9.483358383178713,7,7.177531719207764,2.305826663970949
165,165,8,7,3,15.52008819580078,3,12.30247402191162,3.21761417388916
166,166,25,13,5,49.69782257080078,5,44.644264221191406,5.053558349609375
167,167,4,4,2,8.230742454528809,2,4.29957389831543,3.931168556213379
168,168,6,5,5,11.056931495666504,5,7.839223384857178,3.217708110809326
169,169,43,14,6,111.5856704711914,6,106.96966552734376,4.616004943847642
170,170,6,6,5,16.24854278564453,5,12.287555694580078,3.960987091064453
171,171,6,5,7,11.845695495605469,7,10.865473747253418,0.9802217483520508
172,172,5,4,3,11.200177192687988,3,6.9407243728637695,4.259452819824219
173,173,4,4,4,7.972017288208008,4,5.41339111328125,2.558626174926758
174,174,5,4,10,7.605789184570312,10,6.293888568878174,1.3119006156921378
175,175,7,5,6,17.401098251342773,6,13.9107027053833,3.4903955459594727
176,176,11,6,1,24.50653076171875,1,24.51907539367676,-0.012544631958011365
177,177,10,7,4,21.917133331298828,4,21.78982925415039,0.1273040771484375
178,178,11,9,9,20.88057518005371,9,20.845537185668945,0.035037994384765625
179,179,7,4,9,22.28999137878418,9,21.88677978515625,0.4032115936279297
180,180,7,5,2,27.99209976196289,2,24.60586929321289,3.38623046875
181,181,2,2,3,5.68701171875,3,2.44950008392334,3.23751163482666
182,182,7,6,3,13.844717025756836,3,11.590001106262209,2.254715919494627
183,183,40,9,7,110.91404724121094,7,107.21339416503906,3.700653076171875
184,184,5,4,7,7.541154384613037,7,6.064579963684082,1.476574420928955
185,185,19,9,6,53.90470123291016,6,49.4777717590332,4.42692947387696
186,186,13,9,2,28.943103790283203,2,27.55721092224121,1.3858928680419922
187,187,11,8,3,15.686142921447754,3,12.103572845458984,3.5825700759887695
188,188,10,8,5,20.224092483520508,5,16.593652725219727,3.6304397583007812
189,189,2,2,10,7.284976959228516,10,5.057282447814941,2.227694511413574
190,190,19,10,10,59.38955307006836,10,57.990264892578125,1.3992881774902344
191,191,7,6,9,9.612218856811523,9,8.805882453918457,0.8063364028930664
192,192,7,6,10,12.184476852416992,10,9.17072582244873,3.0137510299682617
193,193,10,7,10,37.8349494934082,10,34.639793395996094,3.1951560974121094
194,194,7,7,3,26.96733665466309,3,27.596569061279297,-0.6292324066162074
195,195,30,10,8,66.64909362792969,8,59.762481689453125,6.8866119384765625
196,196,11,5,2,34.57533264160156,2,32.75282669067383,1.8225059509277344
197,197,27,11,10,94.46800231933594,10,94.31346893310548,0.15453338623045454
198,198,9,8,1,17.505348205566406,1,15.99915885925293,1.5061893463134766
199,199,14,6,3,28.542612075805664,3,25.28118896484375,3.261423110961914
200,200,7,6,1,13.85009765625,1,12.4992036819458,1.3508939743041992
201,201,20,11,6,61.91319274902344,6,59.86263275146485,2.0505599975585866
202,202,10,7,5,28.339111328125,5,22.308624267578125,6.030487060546875
203,203,9,5,10,15.448610305786133,10,12.66014289855957,2.7884674072265625
204,204,2,2,2,5.696820259094238,2,1.071461200714111,4.625359058380127
205,205,1,3,7,9.618419647216797,7,5.535880088806152,4.0825395584106445
206,206,1,2,10,12.252920150756836,10,3.659347057342529,8.593573093414307
207,207,5,4,10,14.979267120361328,10,12.398948669433594,2.5803184509277344
208,208,4,4,5,18.05807113647461,5,12.701799392700195,5.356271743774414
209,209,5,4,8,23.558210372924805,8,18.207420349121094,5.350790023803711
210,210,3,4,1,12.255980491638184,1,8.664546012878418,3.5914344787597656
211,211,15,12,9,46.8667221069336,9,44.621883392333984,2.2448387145996165
212,212,3,3,3,22.38413619995117,3,20.03917121887207,2.344964981079098
213,213,6,3,4,24.377779006958008,4,23.7570915222168,0.6206874847412074
214,214,8,5,4,13.888937950134276,4,13.332101821899414,0.5568361282348615
215,215,3,4,9,10.023344039916992,9,7.171724796295166,2.851619243621826
216,216,8,6,1,18.665904998779297,1,16.90113639831543,1.7647686004638672
217,217,8,6,1,23.26500129699707,1,23.000545501708984,0.26445579528808594
218,218,7,4,6,33.19312286376953,6,30.48951530456543,2.7036075592041016
219,219,7,6,1,17.240079879760742,1,15.84596061706543,1.3941192626953125
220,220,4,3,9,16.72274398803711,9,13.349493980407717,3.3732500076293928
221,221,11,6,5,47.61544799804688,5,45.37784576416016,2.2376022338867188
222,222,13,12,4,28.61456871032715,4,27.87672233581543,0.7378463745117188
223,223,15,7,4,25.63150405883789,4,22.77570343017578,2.8558006286621094
224,224,12,8,5,40.82700729370117,5,35.73966217041016,5.0873451232910085
225,225,8,4,6,23.840320587158203,6,24.281963348388672,-0.44164276123046875
226,226,13,6,8,36.82573318481445,8,31.31221580505371,5.513517379760742
227,227,3,4,5,14.31940460205078,5,13.308948516845703,1.0104560852050763
228,228,27,9,9,75.76210021972656,9,76.74703216552734,-0.9849319458007812
229,229,2,3,9,6.8315110206604,9,1.9233819246292116,4.908129096031189
230,230,14,7,5,21.30948829650879,5,19.13242721557617,2.1770610809326207
231,231,9,5,1,31.499053955078125,1,28.540565490722656,2.9584884643554688
232,232,8,8,5,19.65059280395508,5,17.70117950439453,1.9494132995605504
233,233,1,2,1,9.993677139282228,1,3.084847211837769,6.90882992744446
234,234,6,4,5,17.569475173950195,5,14.7486572265625,2.8208179473876953
235,235,3,4,10,7.645829677581787,10,4.814784526824951,2.831045150756836
236,236,7,5,8,11.91572093963623,8,8.274921417236328,3.6407995223999023
237,237,6,5,6,19.617048263549805,6,20.18223571777344,-0.5651874542236364
238,238,37,10,10,84.62974548339844,10,80.65587615966797,3.9738693237304688
239,239,5,5,2,17.95608139038086,2,20.326854705810547,-2.3707733154296875
240,240,2,4,9,12.41985321044922,9,8.314595222473145,4.105257987976076
241,241,20,11,2,44.04214859008789,2,40.49794006347656,3.544208526611328
242,242,10,5,3,19.37963104248047,3,14.83469581604004,4.544935226440428
243,243,5,5,4,14.469183921813965,4,14.118806838989258,0.35037708282470703
244,244,1,2,9,12.085448265075684,9,8.484661102294922,3.6007871627807617
245,245,4,3,6,17.868534088134766,6,11.012462615966797,6.856071472167969
246,246,1,2,8,9.542701721191406,8,2.753870248794556,6.788831472396851
247,247,4,4,5,14.901788711547852,5,12.222509384155272,2.67927932739258
248,248,4,4,2,7.291952133178711,2,4.962173938751221,2.3297781944274902
249,249,7,6,9,20.505395889282227,9,18.86351203918457,1.6418838500976562
250,250,9,5,4,34.03117370605469,4,33.899879455566406,0.13129425048828125
251,251,20,8,2,42.451019287109375,2,38.23162078857422,4.219398498535156
252,252,12,10,1,40.63417434692383,1,33.37433624267578,7.259838104248047
253,253,7,5,5,14.003766059875488,5,11.059965133666992,2.943800926208496
254,254,4,4,5,7.382601261138916,5,5.180846691131592,2.201754570007324
255,255,9,12,8,26.686752319335938,8,28.10408973693848,-1.4173374176025426
256,256,14,9,9,53.824893951416016,9,51.39318084716797,2.431713104248047
257,257,12,12,4,22.325593948364254,4,21.3144588470459,1.0111351013183558
258,258,7,7,10,14.629888534545898,10,14.745390892028809,-0.11550235748291016
259,259,3,4,5,17.12567901611328,5,16.825592041015625,0.30008697509765625
260,260,67,11,8,193.33148193359372,8,192.25624084472656,1.075241088867159
261,261,12,7,1,27.810222625732425,1,25.60012435913086,2.210098266601566
262,262,12,12,1,32.752479553222656,1,28.667255401611328,4.085224151611328
263,263,8,8,2,16.393354415893555,2,15.283577919006348,1.109776496887207
264,264,4,5,3,15.00063133239746,3,12.781866073608398,2.2187652587890607
265,265,32,12,5,57.52891540527344,5,55.60133361816406,1.927581787109375
266,266,7,6,2,19.082420349121094,2,17.28974151611328,1.7926788330078125
267,267,1,2,4,8.87826919555664,4,4.479834079742432,4.398435115814209
268,268,17,6,2,47.74305725097656,2,44.39826202392578,3.3447952270507812
269,269,3,4,4,8.513411521911621,4,5.165388584136963,3.348022937774658
270,270,5,5,4,8.188218116760254,4,5.406923294067383,2.781294822692871
271,271,18,9,8,26.629987716674805,8,25.88260841369629,0.7473793029785156
272,272,11,11,4,31.6049861907959,4,36.935691833496094,-5.330705642700195
273,273,3,4,1,7.445639133453369,1,3.8866896629333496,3.5589494705200195
274,274,15,8,2,22.83621025085449,2,19.22694396972656,3.6092662811279297
275,275,2,3,8,10.876697540283203,8,8.35659408569336,2.5201034545898438
276,276,3,4,10,7.974193096160889,10,3.962788820266724,4.011404275894165
277,277,50,23,2,154.72601318359375,2,149.38363647460938,5.342376708984375
278,278,15,9,2,50.873905181884766,2,49.1602897644043,1.7136154174804688
279,279,9,7,1,17.35698127746582,1,16.197494506835938,1.1594867706298828
280,280,7,5,2,31.04254150390625,2,27.60920143127441,3.4333400726318395
281,281,13,13,10,31.902677536010746,10,31.14887237548828,0.7538051605224645
282,282,4,5,10,19.17216110229492,10,15.182408332824709,3.9897527694702095
283,283,17,9,1,43.97285461425781,1,44.607460021972656,-0.6346054077148438
284,284,1,2,5,14.277488708496094,5,8.523892402648926,5.753596305847168
285,285,5,5,7,19.17190170288086,7,18.739002227783203,0.43289947509765625
286,286,10,6,4,46.20520782470703,4,47.40071105957031,-1.1955032348632812
287,287,18,7,9,88.91869354248047,9,86.88829803466797,2.0303955078125
288,288,3,3,5,7.713099479675293,5,4.249110221862793,3.4639892578125
289,289,3,4,1,16.01980972290039,1,11.861825942993164,4.157983779907227
290,290,18,12,4,27.67294692993164,4,26.4932804107666,1.179666519165039
291,291,13,6,5,27.5127067565918,5,25.81174087524414,1.7009658813476598
292,292,14,8,4,45.17027282714844,4,47.63900375366211,-2.468730926513672
293,293,3,5,6,13.119165420532228,6,9.880178451538086,3.2389869689941424
294,294,3,4,9,12.193220138549805,9,9.689127922058104,2.504092216491701
295,295,5,4,6,23.481884002685547,6,19.72684669494629,3.755037307739258
296,296,12,6,8,40.06541442871094,8,39.10868835449219,0.95672607421875
297,297,7,6,4,26.21440315246582,4,25.236331939697266,0.9780712127685547
298,298,9,9,3,35.509490966796875,3,31.32500457763672,4.184486389160156
299,299,24,8,5,56.0321044921875,5,48.13469314575195,7.897411346435547
300,300,15,9,6,48.29590606689453,6,46.00556182861328,2.29034423828125
301,301,8,9,10,19.60014915466309,10,14.712255477905272,4.887893676757818
302,302,5,6,10,10.68735122680664,10,6.591941833496094,4.095409393310547
303,303,14,10,8,20.14097023010254,8,20.78569221496582,-0.6447219848632812
304,304,3,4,1,8.095025062561035,1,4.97281551361084,3.1222095489501953
305,305,4,5,7,9.059535026550291,7,6.523368835449219,2.5361661911010724
306,306,5,4,8,29.878589630126957,8,31.290088653564453,-1.4114990234374964
307,307,7,6,9,10.310464859008787,9,8.400781631469727,1.9096832275390607
308,308,33,15,2,73.23937225341797,2,71.00947570800781,2.2298965454101562
309,309,12,7,8,34.25399398803711,8,35.252010345458984,-0.998016357421875
310,310,5,5,3,33.95960998535156,3,30.695402145385746,3.2642078399658168
311,311,6,5,2,23.766788482666016,2,22.10811996459961,1.6586685180664062
312,312,1,3,2,14.235613822937012,2,9.21533203125,5.020281791687012
313,313,6,4,2,21.89608192443848,2,25.577428817749023,-3.6813468933105433
314,314,8,6,1,11.672544479370115,1,10.632460594177246,1.0400838851928693
315,315,17,8,5,64.21552276611328,5,60.24411010742188,3.971412658691399
316,316,8,7,2,17.331188201904297,2,15.503430366516112,1.8277578353881854
317,317,3,5,1,15.778075218200684,1,11.660228729248049,4.117846488952635
318,318,9,9,7,17.612089157104492,7,17.89375114440918,-0.2816619873046875
319,319,7,5,8,19.60060691833496,8,18.5484619140625,1.052145004272461
320,320,8,6,9,26.27283096313477,9,24.29426383972168,1.9785671234130895
321,321,1,3,3,9.539456367492676,3,7.251843452453613,2.2876129150390625
322,322,2,2,1,7.892365455627441,1,5.746227741241455,2.1461377143859863
323,323,6,5,1,18.040340423583984,1,13.774139404296877,4.266201019287108
324,324,5,4,2,21.25752067565918,2,19.78697967529297,1.470541000366211
325,325,5,4,6,11.622153282165527,6,13.43332862854004,-1.8111753463745135
326,326,4,4,3,10.507966995239258,3,7.556577682495117,2.9513893127441406
327,327,8,6,5,17.152103424072266,5,13.214816093444824,3.9372873306274414
328,328,38,15,9,76.38866424560547,9,78.6052474975586,-2.216583251953125
329,329,4,5,8,19.633285522460938,8,17.01781463623047,2.6154708862304688
330,330,5,6,2,18.136934280395508,2,17.299240112304688,0.8376941680908203
331,331,9,6,9,31.589075088500977,9,30.913619995117188,0.6754550933837891
332,332,3,3,7,7.488227844238281,7,4.573577880859375,2.9146499633789062
333,333,19,7,5,46.60796356201172,5,43.63076400756836,2.9771995544433594
334,334,14,9,3,31.79758071899414,3,28.37668800354004,3.4208927154541016
335,335,4,4,6,12.720125198364258,6,13.251256942749023,-0.5311317443847656
336,336,4,4,9,9.602872848510742,9,6.438896179199219,3.1639766693115234
337,337,20,9,8,51.02151870727539,8,48.39009094238281,2.631427764892578
338,338,9,7,10,18.84535026550293,10,18.76893615722656,0.07641410827637074
339,339,15,6,7,33.315799713134766,7,29.298080444335938,4.017719268798828
340,340,5,4,10,18.441606521606445,10,13.266075134277344,5.175531387329102
341,341,9,7,2,14.368940353393556,2,11.017090797424316,3.35184955596924
342,342,6,5,2,9.12045669555664,2,5.092535018920898,4.027921676635742
343,343,4,5,1,9.265228271484377,1,6.75250244140625,2.5127258300781268
