,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
108,108,8,6,2,7.057737350463867,2,5.726825714111328,1.330911636352539
109,109,14,7,1,9.483602523803713,1,9.479007720947266,0.004594802856447089
110,110,10,6,1,10.391420364379885,1,11.060604095458984,-0.6691837310790998
111,111,4,4,7,4.601634502410889,7,2.9640560150146484,1.6375784873962402
112,112,3,4,10,3.24265718460083,10,2.4510788917541504,0.7915782928466797
113,113,7,6,7,4.747660636901856,7,4.068069934844971,0.6795907020568857
114,114,19,11,6,18.00699234008789,6,17.071880340576172,0.9351119995117188
115,115,16,8,5,13.556933403015137,5,14.055304527282717,-0.4983711242675799
116,116,17,7,2,12.95684051513672,2,13.091795921325684,-0.13495540618896307
117,117,11,5,10,8.528082847595215,10,8.952571868896484,-0.42448902130126953
118,118,36,12,6,38.94259262084961,6,42.130706787109375,-3.1881141662597656
119,119,14,6,3,11.839945793151855,3,11.919391632080078,-0.07944583892822266
120,120,4,4,3,3.3515641689300537,3,1.3950814008712769,1.9564827680587769
121,121,1,3,4,4.365525722503662,4,4.64832878112793,-0.2828030586242676
122,122,20,11,3,16.272216796875,3,15.363000869750977,0.9092159271240234
123,123,8,5,6,6.207556247711182,6,5.112123966217041,1.0954322814941406
124,124,9,7,5,8.525458335876465,5,7.173849105834961,1.351609230041504
125,125,7,6,10,4.976759910583496,10,3.816643714904785,1.160116195678711
126,126,3,3,10,4.922506809234619,10,3.446382999420166,1.4761238098144531
127,127,31,17,3,28.46402359008789,3,27.419187545776367,1.0448360443115234
128,128,21,16,1,18.144556045532227,1,17.781511306762695,0.36304473876953125
129,129,29,9,7,40.19967651367188,7,37.040618896484375,3.159057617187507
130,130,28,8,3,27.09628677368164,3,22.618968963623047,4.477317810058594
131,131,8,9,8,6.9893341064453125,8,5.756715297698975,1.232618808746338
132,132,22,10,9,24.024974822998047,9,23.6086540222168,0.41632080078124645
133,133,14,12,3,15.316391944885254,3,13.846317291259766,1.4700746536254883
